x	y
0 100
0.1275	99.767	
0.1983	99.322	
0.2549	98.868	
0.5807	98.537	
0.6373	98.996	
0.8781	97.635	
1.1897	96.847	
1.4588	95.716	
1.6995	94.469	
1.9545	93.222	
2.1528	91.517	
2.3935	90.27	
2.5635	88.336	
2.7901	87.089	
3.0167	85.499	
3.215	83.794	
3.4699	80.721	
3.654	79.015	
3.8381	77.196	
4.0223	75.262	
4.1922	73.327	
4.4613	72.424	
4.6171	70.375	
4.7729	68.326	
5.0845	65.255	
5.3111	63.779	
5.481	61.845	
5.651	59.682	
6.2033	56.05	
6.4299	54.574	
6.6424	52.983	
6.7982	50.934	
7.0673	49.917	
7.4497	47.534	
7.6621	45.829	
7.8746	44.125	
8.1153	42.764	
8.4269	42.09	
8.696	41.073	
8.9651	39.941	
9.22	38.466	
9.4891	37.334	
9.7299	36.088	
9.9282	34.497	
10.3531	32.572	
10.5655	30.867	
10.8346	29.735	
11.0895	28.717	
12.1234	26.701	
12.3359	25.224	
16.344	16.125	
16.6414	15.222	
17.2645	13.99	
17.562	12.973	
20.3945	9.538	
20.7486	9.551	
21.1027	9.564	
21.4143	9.005	
21.7683	9.018	
22.5331	8.361	
22.873	8.374	
23.4254	8.394	
23.7795	8.407	
24.0769	7.847	
24.6576	7.754	
24.9691	7.195	
25.4224	5.956	
25.7481	5.625	
26.003	4.607	
26.3571	4.62


